"uuid","occurrenceid","catalognumber","family","genus","scientificname","country","stateprovince","geopoint.lon","geopoint.lat","data.dwc:eventDate","data.dwc:year","data.dwc:month","data.dwc:day","collector","recordset"
"0da6ea1a-272d-4cec-8db7-22f83ebf85c4","eb9ade99-8e42-44e1-a751-7c704603453a","01393108","diapensiaceae","galax","galax urceolata","united states","tennessee",-82.100768,36.457393,"2021-07-08",NA,NA,NA,"m. c. pace","36d35b23-113e-4633-90ec-19d265a3b5f6"
"0dd29cf2-3173-485d-bdee-5c8210f61522","83a1c811-b102-4e98-ae3b-6c846380872e","ncu00331987","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,"1957",NA,NA,"caughey helms, mary","4e3043a6-d48a-4a35-b5fb-f67d50cbc158"
"0dd5dea1-0e4b-49c9-899e-5b2ea41056bd","c90dd325-0762-4c3b-ac11-111cbf089d27","ncu00331923","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,"1958",NA,NA,"ahles, harry e.; duke, james a.","4e3043a6-d48a-4a35-b5fb-f67d50cbc158"
"0e2bef23-d67f-4eea-9ab6-52d55dde38c5","18c74b60-c361-4fde-9385-bb3d709ff4b8","duke10095563","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,"1924",NA,NA,"blomquist, hugo leander","6258d160-a7aa-4937-bce3-3538eebd374f"
"0e736a28-1b50-417b-ac10-0254ddc48868","b927d5e4-fbae-4a74-8889-647054e7825b","ncu00332707","diapensiaceae","galax","galax urceolata","united states","virginia",NA,NA,NA,"1967",NA,NA,"james, fred c.","4e3043a6-d48a-4a35-b5fb-f67d50cbc158"
"0e894489-40fb-4068-8b87-4eac3e8ce9ab","4e8ee633-126b-424b-9049-79a844ecccd6","uvmvt314461","diapensiaceae","galax","galax urceolata","united states","south carolina",NA,NA,NA,NA,NA,NA,"s.r. hill","3027c437-cdb3-4072-9410-5a46ec3b1fd5"
"0ef79fab-c117-4b99-9625-c47b109a5b95","http://n2t.net/ark:/65665/3310d34ac-9de0-4f90-a203-818e31bc1f74","us 136118","diapensiaceae","galax","galax urceolata","united states","virginia",NA,NA,"1877-05-17","1877","5","17","l. f. ward","a6eee223-cf3b-4079-8bb2-b77dad8cae9d"
"0f2e9a8e-1405-4f82-9e53-3b540b9e044e","s:vascularplants:s16-3464","s16-3464","diapensiaceae","galax","galax urceolata","united states","tennessee",NA,NA,"1895-07","1895","07",NA,"a. ruth","fc014977-92f7-47fd-92d7-b609c39d8212"
"0f34b843-2908-4bd6-b0ae-b7c22b58aa3f","04ca4119-f257-4840-bac0-e31cf82fa98f","vpi-v-0060079","diapensiaceae","galax","galax urceolata","united states","virginia",NA,NA,NA,NA,NA,NA,NA,"471835cc-feb6-4d05-a8d1-62ce71399326"
"0f775d46-d8be-4074-a8b0-c5d2dc941e43","urn:uuid:2aa8d50c-b468-433c-9d1a-d3d31c6f3681","vsc0021165","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,"1967-05-19",NA,NA,NA,"r. c. dunton","76fd34da-4892-4821-858d-98fe9e28ba8b"
