X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
1300.0,1300.0,train,1.5192454746534937E-4,25.3694314228655,0.39300448230088925
1304.0,1304.0,train,4.4851544849895E-4,65.7038498789826,0.6565277718179333
1307.0,1307.0,train,3.1061452324012366E-4,45.56782904583465,0.5696610251333849
1308.0,1308.0,train,4.7783576483613087E-4,70.7066480172278,0.670662439784908
1309.0,1309.0,train,4.078801541880296E-4,59.46707499367464,0.6348056015977828
1310.0,1310.0,train,2.489683226597802E-4,38.23675033245226,0.514805990396918
1314.0,1314.0,train,5.13889089676603E-4,76.50808697854737,0.6865250097663368
1315.0,1315.0,train,4.0931219720732556E-4,59.625451749683876,0.6356177239883953
1317.0,1317.0,train,4.323184436292975E-4,62.899691585410906,0.6481866842348082
1318.0,1318.0,train,4.506176157817247E-4,66.05223389612009,0.6575814312904281
1319.0,1319.0,train,2.3171148784077638E-4,35.95482183442695,0.4968521970883832
1320.0,1320.0,train,1.8482546358001756E-4,29.697693480597895,0.4406135306404012
1322.0,1322.0,train,3.355480272101935E-4,48.542102723821756,0.5884788832583281
1323.0,1323.0,train,4.716947125295303E-4,69.89180172792297,0.6677991262983914
1324.0,1324.0,train,3.8933194202856014E-5,8.550567523358847,0.14230972798576236
1325.0,1325.0,train,4.903954327783629E-4,73.25337062115842,0.6763674404256366
1326.0,1326.0,train,3.9519471349375455E-4,57.523482736832165,0.6274503437537072
1327.0,1327.0,train,6.515457362453716E-4,91.80581869850555,0.7352185837680439
1328.0,1328.0,train,6.421016284536646E-4,90.9607610997868,0.7323664289675358
1329.0,1329.0,train,6.330903091880546E-4,90.00779301174434,0.7295870968597588
1330.0,1330.0,train,5.151775187420282E-4,76.68077146918077,0.6870636558217458
1331.0,1331.0,train,1.7332224779640848E-4,27.968567137577956,0.42484093158115455
1332.0,1332.0,train,7.726388485444327E-5,15.177110408360932,0.24771101202528215
1334.0,1334.0,train,3.7363131418469836E-4,53.856370291575175,0.6142435102916619
1335.0,1335.0,train,1.6453093382489678E-4,27.000614277293163,0.4121739047003976
1336.0,1336.0,train,5.028651392204389E-4,75.04186849947149,0.6818393507323568
1337.0,1337.0,train,1.8403573842414814E-4,29.51578683538589,0.43955840942715124
