x,y,species median
769.0,769.0,0.14570989
770.0,770.0,0.028031547
771.0,771.0,0.017257346
772.0,772.0,0.12530017
773.0,773.0,0.06807759
774.0,774.0,0.034878086
775.0,775.0,0.02642329
776.0,776.0,0.15004939
777.0,777.0,0.02033874
778.0,778.0,0.014387929
779.0,779.0,0.01998712
780.0,780.0,0.04172425
781.0,781.0,0.06836769
782.0,782.0,0.17537042
783.0,783.0,0.040604852
784.0,784.0,0.028831637
785.0,785.0,0.03198492
786.0,786.0,0.07118655
787.0,787.0,0.04556621
788.0,788.0,0.02460613
789.0,789.0,0.087112464
790.0,790.0,0.045919567
791.0,791.0,0.061596446
792.0,792.0,0.108041406
793.0,793.0,0.21918058
794.0,794.0,0.51609635
795.0,795.0,0.012979227
796.0,796.0,0.006491023
797.0,797.0,0.029184962
798.0,798.0,0.012112688
799.0,799.0,0.016485492
800.0,800.0,0.07006553
801.0,801.0,0.016852906
802.0,802.0,0.010163635
803.0,803.0,0.037765816
804.0,804.0,0.054815535
805.0,805.0,0.061194647
806.0,806.0,0.054556385
807.0,807.0,0.36439055
808.0,808.0,0.6665917
809.0,809.0,0.035820507
810.0,810.0,0.116016485
811.0,811.0,0.5621849
812.0,812.0,0.47725236
813.0,813.0,0.13694033
814.0,814.0,0.044164415
815.0,815.0,0.00949811
816.0,816.0,0.49758083
817.0,817.0,0.06408343
818.0,818.0,0.01623751
819.0,819.0,0.16016701
820.0,820.0,0.021922978
821.0,821.0,0.035171513
822.0,822.0,0.121918105
823.0,823.0,0.16028827
824.0,824.0,0.0139959855
825.0,825.0,0.037704885
826.0,826.0,0.052063033
827.0,827.0,0.0977986
828.0,828.0,0.034365647
829.0,829.0,0.023756232
830.0,830.0,0.354826
831.0,831.0,0.1535375
832.0,832.0,0.033170182
833.0,833.0,0.0712087
834.0,834.0,0.08088329
835.0,835.0,0.07465013
836.0,836.0,0.028665215
837.0,837.0,0.17251155
838.0,838.0,0.14747262
839.0,839.0,0.030599294
840.0,840.0,0.0029430466
841.0,841.0,0.12304115
842.0,842.0,0.30964428
843.0,843.0,0.012521115
844.0,844.0,0.14616852
845.0,845.0,0.03180402
846.0,846.0,0.01763596
847.0,847.0,0.015814664
848.0,848.0,0.18828923
849.0,849.0,0.06478309
850.0,850.0,0.0625199
851.0,851.0,0.3027893
852.0,852.0,0.05648638
853.0,853.0,0.19010991
854.0,854.0,0.017558653
855.0,855.0,0.02186977
856.0,856.0,0.16459718
857.0,857.0,0.017045252
858.0,858.0,0.080634825
859.0,859.0,0.029268
860.0,860.0,0.052207667
861.0,861.0,0.55978614
862.0,862.0,0.32964602
863.0,863.0,0.11284812
864.0,864.0,0.095680214
865.0,865.0,0.13104932
866.0,866.0,0.015917122
867.0,867.0,0.019544927
868.0,868.0,0.03907613
869.0,869.0,0.04744616
870.0,870.0,0.051867932
871.0,871.0,0.07449444
872.0,872.0,0.015487192
873.0,873.0,0.21632612
874.0,874.0,0.019577328
875.0,875.0,0.05835599
876.0,876.0,0.012243072
877.0,877.0,0.0061884103
878.0,878.0,0.020102764
879.0,879.0,0.035497013
880.0,880.0,0.04264113
881.0,881.0,0.17619829
882.0,882.0,0.03620857
883.0,883.0,0.02083961
884.0,884.0,0.025175555
885.0,885.0,0.4586703
886.0,886.0,0.016555341
887.0,887.0,0.05295078
888.0,888.0,0.05584913
889.0,889.0,0.0818748
890.0,890.0,0.010261751
891.0,891.0,0.03201878
892.0,892.0,0.0132669145
893.0,893.0,0.16561382
894.0,894.0,0.0034047847
895.0,895.0,0.015812203
896.0,896.0,0.018543895
897.0,897.0,0.08415
898.0,898.0,0.022800311
899.0,899.0,0.20146215
900.0,900.0,0.029729327
901.0,901.0,0.23702815
902.0,902.0,0.011854475
903.0,903.0,0.49862677
904.0,904.0,0.03944969
905.0,905.0,0.0323692
906.0,906.0,0.020293292
907.0,907.0,0.02549739
908.0,908.0,0.04189838
909.0,909.0,0.061139144
910.0,910.0,0.033574056
911.0,911.0,0.032610696
912.0,912.0,0.32371268
913.0,913.0,0.036224086
914.0,914.0,0.08355751
915.0,915.0,0.19212191
916.0,916.0,0.08617978
917.0,917.0,0.008589177
918.0,918.0,0.04203219
919.0,919.0,0.70019424
920.0,920.0,0.09679452
921.0,921.0,0.31292215
922.0,922.0,0.024146402
923.0,923.0,0.07580658
924.0,924.0,0.049971573
925.0,925.0,0.0014926968
926.0,926.0,0.27117196
927.0,927.0,0.18812093
928.0,928.0,0.0063927798
929.0,929.0,0.36330816
930.0,930.0,0.09581415
931.0,931.0,0.016546672
932.0,932.0,0.04696747
933.0,933.0,0.27529255
934.0,934.0,0.03563354
935.0,935.0,0.03244772
936.0,936.0,0.22051518
937.0,937.0,0.040104937
938.0,938.0,0.14879154
939.0,939.0,0.024957186
940.0,940.0,0.36584058
941.0,941.0,0.49992618
942.0,942.0,0.20232533
943.0,943.0,0.05126327
944.0,944.0,0.013432097
945.0,945.0,0.016542245
946.0,946.0,0.010302564
947.0,947.0,0.011818831
948.0,948.0,0.02598776
949.0,949.0,0.11203672
950.0,950.0,0.3293986
951.0,951.0,0.03641087
952.0,952.0,0.023016699
953.0,953.0,0.0039920737
954.0,954.0,0.5278195
955.0,955.0,0.1424756
956.0,956.0,0.23898621
957.0,957.0,0.0131980805
958.0,958.0,0.04655126
959.0,959.0,0.24048743
960.0,960.0,0.05688619
961.0,961.0,0.057172354
962.0,962.0,0.056097817
963.0,963.0,0.16520073
964.0,964.0,0.6099022
965.0,965.0,0.3461383
966.0,966.0,0.06661789
967.0,967.0,0.04156888
968.0,968.0,0.1424346
969.0,969.0,0.033951897
970.0,970.0,0.22946267
971.0,971.0,0.43507293
972.0,972.0,0.006168954
973.0,973.0,0.13159545
974.0,974.0,0.03916835
975.0,975.0,0.08710213
976.0,976.0,0.5882001
977.0,977.0,0.04903852
978.0,978.0,0.041755732
979.0,979.0,0.025167938
980.0,980.0,0.053476512
981.0,981.0,0.004887756
982.0,982.0,0.041607544
983.0,983.0,0.0048439736
984.0,984.0,0.019399256
985.0,985.0,0.0364677
986.0,986.0,0.23941053
987.0,987.0,0.16419494
988.0,988.0,0.21808122
989.0,989.0,0.0051047797
990.0,990.0,0.07388127
991.0,991.0,0.065053724
992.0,992.0,0.042635214
993.0,993.0,0.032038663
994.0,994.0,0.24454838
995.0,995.0,0.43499303
