"name","basis","date","institutionID","collectionCode","collectionID","country","county","state","locality","Latitude","Longitude","ID","coordinateUncertaintyInMeters","informationWithheld","habitat","prov","spocc.latitude","spocc.longitude","spocc.prov","spocc.date","spocc.name"
"Pyxidanthera barbulata Michx.","PRESERVED_SPECIMEN","1964-06-16",NA,"Botany","a3883acd-bc7d-40f2-a6e4-372a3435e5d1","United States of America","Burlington","New Jersey","S edge of Chatsworth",39.812607,-74.534017,"2859089423","3036",NA,"pine-barren","gbif",39.812607,-74.534017,"gbif",1964-06-16,"Pyxidanthera barbulata Michx."
"Pyxidanthera barbulata Michx.","PRESERVED_SPECIMEN","1963-05-03","http://grbio.org/institution/utah-state-university","UTC","06bf658d-f555-4c9c-ab93-fc2d7db7086e","United States of America","Ocean","New Jersey","Near Lake Huricon",NA,NA,"1986880434",NA,NA,"In sandy pine barrens","gbif",NA,NA,"gbif",1963-05-03,"Pyxidanthera barbulata Michx."
"Pyxidanthera barbulata Michx.","PRESERVED_SPECIMEN","1963-05-03","http://grbio.org/institution/utah-state-university","UTC","06bf658d-f555-4c9c-ab93-fc2d7db7086e","United States of America","Ocean","New Jersey","Near Lake Huricon",NA,NA,"1986880434",NA,NA,"In sandy pine barrens","gbif",39.866,-74.25002,"bison",1963-05-03,"Pyxidanthera barbulata"
"Pyxidanthera barbulata Michx.","PRESERVED_SPECIMEN","1962-03-11",NA,NA,"3818e5a2-b6a4-11e8-b408-001a64db2964","United States of America","Cumberland","North Carolina","south of Fayetteville, on US. 301 at Rock Fish Creek.",NA,NA,"2412540024",NA,NA,"sand hill","gbif",NA,NA,"gbif",1962-03-11,"Pyxidanthera barbulata Michx."
"Pyxidanthera barbulata Michx.","PRESERVED_SPECIMEN","1962-03-11",NA,NA,"3818e5a2-b6a4-11e8-b408-001a64db2964","United States of America","Cumberland","North Carolina","south of Fayetteville, on US. 301 at Rock Fish Creek.",NA,NA,"2412540024",NA,NA,"sand hill","gbif",NA,NA,"bison",1962-03-11,"Pyxidanthera barbulata"
"Pyxidanthera barbulata Michx.","PRESERVED_SPECIMEN","1961-03-31",NA,"Botany","a3883acd-bc7d-40f2-a6e4-372a3435e5d1","United States of America","Onslow","North Carolina","Rt. 17 at Holly Ridge",NA,NA,"2859379402",NA,NA,NA,"gbif",NA,NA,"gbif",1961-03-31,"Pyxidanthera barbulata Michx."
"Pyxidanthera barbulata Michx.","PRESERVED_SPECIMEN","1961-04-23",NA,"KHD","ca77be98-2a59-4aa9-bfc1-5ea615f2e6b7","United States of America",NA,"New Jersey","Silverton, New Jersey.",NA,NA,"2242402179",NA,NA,NA,"gbif",NA,NA,"gbif",1961-04-23,"Pyxidanthera barbulata Michx."
"Pyxidanthera barbulata Michx.","PRESERVED_SPECIMEN","1961-04-23",NA,"KHD","ca77be98-2a59-4aa9-bfc1-5ea615f2e6b7","United States of America",NA,"New Jersey","Silverton, New Jersey.",NA,NA,"2242402179",NA,NA,NA,"gbif",NA,NA,"bison",1961-04-23,"Pyxidanthera barbulata"
"Pyxidanthera barbulata Michx.","PRESERVED_SPECIMEN","1961-04-23",NA,"KHD","ca77be98-2a59-4aa9-bfc1-5ea615f2e6b7","United States of America","Ocean","New Jersey","along rt 49",NA,NA,"2242402256",NA,NA,NA,"gbif",NA,NA,"gbif",1961-04-23,"Pyxidanthera barbulata Michx."
"Pyxidanthera barbulata Michx.","PRESERVED_SPECIMEN","1961-04-23",NA,"KHD","ca77be98-2a59-4aa9-bfc1-5ea615f2e6b7","United States of America","Ocean","New Jersey","along rt 49",NA,NA,"2242402256",NA,NA,NA,"gbif",39.866,-74.25002,"bison",1961-04-23,"Pyxidanthera barbulata"
