"locality string","country","state","county","latitude","longitude","correction status","precision","error polygon","multiple results","ID","name","basis"
"Joyce Kilmer Memorial Forest","united states","north carolina","graham county",NA,NA,"","","","","7cd61c5f-38ce-4cd7-8070-3e02a78b88ce","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","mcdowell",NA,NA,"","","","","7d5843d8-47ec-437f-953c-75a7af356f6b","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","mcdowell",NA,NA,"","","","","7d6859fc-c336-4f80-b688-4a935d14bb0c","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","pickens",NA,NA,"","","","","7d994ca0-9b42-490e-b1af-3a717f555465","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","7ef95faa-a92d-442d-a142-188b7718ae3c","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee county",NA,NA,"","","","","7f33b24e-15f0-487d-b795-b25f9c086b1b","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","macon",NA,NA,"","","","","7ffce35f-e8e3-410f-b173-2797d8eb812a","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee county",NA,NA,"","","","","80b6ce1c-2e41-4c02-b48b-572c3800a435","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","813acad0-11a8-4f61-855e-3427a85c8ac3","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","823e0aa0-12a2-4ec8-93ff-8203c4ba426e","shortia galacifolia","PreservedSpecimen"
"Texas; Texas Jim Hogg Co. Along S side of rd TXhwy 285, 0.5 mi E of FM 1017 ca 1.5 mi E of Hebbronville. Across from was","united states",NA,NA,NA,NA,"","","","","8500b6e3-cf11-4802-9926-a3b70d1ba162","shortia galacifolia","PreservedSpecimen"
"Fuller Tract, upland woods to ravines.","united states","kentucky","powell",NA,NA,"","","","","850a26de-d2b8-4408-af1a-e0dfb391449e","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","transylvania",NA,NA,"","","","","852e1de9-cf3f-4d43-b00e-afa6730d039a","shortia galacifolia","PreservedSpecimen"
NA,"united states","virginia","amherst",NA,NA,"","","","","85cb8b91-e886-4c43-8b74-455cfa7cf4a8","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","869b3cee-418c-4c8d-9b8d-d58831537e38","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","885760c7-bd21-4314-86c7-24eb451529c9","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","jackson",NA,NA,"","","","","893421c5-2cd4-47ad-be3c-b07d5110a1a4","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","mcdowell",NA,NA,"","","","","8a4bb700-70c8-4691-abc3-78cc5edf6962","shortia galacifolia","PreservedSpecimen"
"Reed Creek, South of Glade Mountain","united states","georgia","rabun county",NA,NA,"","","","","8ac23160-b944-48a5-8873-efdbe248b1f7","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","8ae3c624-b9fd-4ca4-ba6a-eeb1ac289fc6","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","8af47612-a215-4e09-b2bd-f25b013d2b67","shortia galacifolia","PreservedSpecimen"
"home of M. N. Ross, Arden.","united states","north carolina","buncombe",NA,NA,"","","","","8b147068-b232-442c-8b7e-1b0235e53fc2","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","transylvania co.",NA,NA,"","","","","8bab431c-1383-4828-9044-f2612e49944b","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","8d8e7a1f-ca83-43dd-ba21-f1ac6653e494","shortia galacifolia","PreservedSpecimen"
